업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
남대문막내횟집,서울특별시 종로구 관철동 263-0 ,영업,20150915,,20231129.0
함흥곰보냉면,"서울특별시 종로구 인의동 112-14 401,405호 ",영업,20071120,,20231129.0
가봉루,서울특별시 종로구 당주동 168 당주빌딩 ,영업,20071120,20191231.0,20161205.0
이바구,서울특별시 종로구 관훈동 5번지 ,영업,20141230,,20161205.0
백제고기나라,서울특별시 종로구 낙원동 136-0 2층 ,영업,20161205,20231129.0,20191231.0
흑돈 연가,서울특별시 종로구 견지동 110-34번지 ,영업,20071120,,20111125.0
치킨뱅이,서울특별시 종로구 묘동 183 ,영업,20071120,20121127.0,20111125.0
이문 설농탕,서울특별시 종로구 견지동 88-0 지상1층 ,영업,20121127,,20231129.0
인사동.한정식.둘레골,서울특별시 종로구 관훈동 92번지 ,영업,20101122,,20121127.0
닭한마리,서울특별시 종로구 창신동 444-6번지 ,영업,20091028,,20161205.0
조금,서울특별시 종로구 관훈동 123-4번지 ,영업,20091028,,20121127.0
솔밭숯불갈비,서울특별시 종로구 낙원동 43 ,영업,20091028,,20231129.0
호가양꼬치,서울특별시 종로구 수송동 71-1번지 지층.1층 ,영업,20091028,,20111125.0
전주완산골,서울특별시 종로구 종로5가 98-8 ,영업,20081006,20161205.0,20111125.0
양반댁,서울특별시 종로구 인사동 193-5 ,영업,20071120,,20231129.0
조마루(신설동점),서울특별시 종로구 숭인동 201-10 ,영업,20101122,,20231129.0
소숯점,서울특별시 종로구 당주동 20-2 ,영업,20071120,20231129.0,20221229.0
모토이시 종각점,서울특별시 종로구 관철동 173-1 ,영업,20091028,20121127.0,20111125.0
하나로회관,서울특별시 종로구 인사동 194-4 ,영업,20071120,,20231129.0
봄날의 햇살,서울특별시 종로구 수송동 146-1 이마빌딩 지하1층 ,영업,20081006,20161205.0,20111125.0
섬마을,서울특별시 종로구 통의동 71-1번지 ,영업,20091028,,20111125.0
평창동 북악정,"서울특별시 종로구 평창동 114-12 지하, 지상1,2층 ",영업,20091028,,20231129.0
철길왕갈비살,서울특별시 종로구 평창동 281-1 ,영업,20081006,20110321.0,20101122.0
김가네대청마루,서울특별시 종로구 경운동 47-1 ,영업,20081006,,20231129.0
동북풍미분식,서울특별시 종로구 창신동 444-9번지 ,영업,20121127,,20161205.0
무교삼계탕,서울특별시 종로구 관훈동 198-17 ,영업,20081006,,20231129.0
금문도,서울특별시 종로구 수송동 80-6 ,영업,20071120,20161205.0,20111125.0
산동,서울특별시 종로구 신문로1가 34번지 ,영업,20071120,,20111125.0
대판,서울특별시 종로구 수송동 51-8번지 ,영업,20071120,,20111125.0
신안촌,"서울특별시 종로구 내자동 152 ,153,154-1,155-1 (1층) ",영업,20180119,,20231129.0
한일,서울특별시 종로구 서린동 136 한효B/D 지하동 1층 ,영업,20071120,20160909.0,20111125.0
화선,서울특별시 종로구 서린동 136 한효빌딩 지하동 1층호,영업,20071120,20160909.0,20111125.0
신호원,서울특별시 종로구 연건동 178-1번지 ,영업,20071120,,20111125.0
VIP 참치 석탄회관점,서울특별시 종로구 수송동 80-6 ,영업,20071120,20161205.0,20111125.0
신만보성,"서울특별시 종로구 관철동 32-5 지상2층,지상3층 ",영업,20071120,20120917.0,20111125.0
태진복집,"서울특별시 종로구 통의동 92 지상1,2층 ",영업,20091028,,20231129.0
박가네 빈대떡,서울특별시 종로구 종로5가 138-16 1~2층 ,영업,20180119,,20231129.0
무강,서울특별시 종로구 관수동 143-7 130-1번지 1층 ,영업,20071120,20170120.0,20121127.0
